	mean_abundance	occurrence	predicted_occurrence	lower_conf_int	upper_conf_int
Haemophilus_paraphrohaemolyticus	0.007631578947368421	0.013157894736842105	0.03233689229406178	0.009984464801027472	0.09969121721596838
Prevotella_pallens	0.008157894736842105	0.15789473684210525	0.03453634655704041	0.011042244663843188	0.10282069861955251
GGB12788_SGB19831	0.008684210526315789	0.013157894736842105	0.036731864324865304	0.012125653927571714	0.10591705642970525
Streptococcus_oralis	0.009210526315789473	0.17105263157894737	0.03892344957609806	0.013232817028640605	0.10898217378427649
Porphyromonas_pasteri	0.010526315789473684	0.11842105263157894	0.0443852341089368	0.016094062699858927	0.11651892510927929
Prevotella_copri_clade_A	0.011052631578947368	0.013157894736842105	0.046563086971906475	0.01727222862940775	0.11948689628770612
Streptococcus_parasanguinis	0.011052631578947368	0.14473684210526316	0.046563086971906475	0.01727222862940775	0.11948689628770612
Haemophilus_parainfluenzae	0.01263157894736842	0.19736842105263158	0.05307317438990011	0.020907012036430625	0.12824584042713627
Pseudomonas_fluorescens	0.013157894736842105	0.013157894736842105	0.05523539319826365	0.02214876783565975	0.13112045804750294
Streptococcus_infantis	0.013421052631578948	0.11842105263157894	0.056315040429933405	0.022774811761127993	0.13254981718753164
Streptococcus_pneumoniae	0.017894736842105265	0.039473684210526314	0.0745204174425439	0.03385804554296829	0.15612548551983407
Veillonella_atypica	0.01894736842105263	0.19736842105263158	0.0787633926474075	0.036565663250424575	0.16149552872520806
Comamonas_thiooxydans	0.02	0.02631578947368421	0.08299095282011659	0.03930394041315961	0.16680556575591593
Prevotella_jejuni	0.020526315789473684	0.14473684210526316	0.08509896251194804	0.04068368690070005	0.16943899084478625
Prevotella_sp_A2879	0.02236842105263158	0.19736842105263158	0.09244677195539774	0.0455631058358939	0.17854813188709215
Alishewanella_agri	0.025789473684210525	0.02631578947368421	0.10596845933524257	0.05480072911877214	0.1950527296519548
Afipia_birgiae	0.031052631578947366	0.06578947368421052	0.12645794801990196	0.06934417629182121	0.21951661433468345
Streptococcus_salivarius	0.03263157894736842	0.14473684210526316	0.13253131683735375	0.073765139621904	0.22665796554504342
Sphingomonas_melonis	0.03315789473684211	0.07894736842105263	0.13454827612085218	0.0752435185637668	0.22901941888605842
Rothia_mucilaginosa	0.034210526315789476	0.18421052631578946	0.13857097450286315	0.07820669347631717	0.23371454785594145
Neisseria_subflava	0.03973684210526316	0.2236842105263158	0.1594459495392767	0.0938751318310023	0.2577873197997892
Prevotella_melaninogenica	0.0431578947368421	0.2894736842105263	0.17216445513131762	0.10363992185706196	0.27223567515640323
Helicobacter_pylori	0.04684210526315789	0.09210526315789473	0.18568837827286844	0.11418619308972706	0.287435881353869
Cutibacterium_acnes	0.049210526315789475	0.13157894736842105	0.194288297235789	0.12097406694567364	0.297020299558612
Haemophilus_parahaemolyticus	0.05947368421052631	0.17105263157894737	0.23071470647840986	0.1503579358476433	0.33698403886245937
Prevotella_histicola	0.061052631578947365	0.27631578947368424	0.23619895101980604	0.15486359559811197	0.3429191348622621
Streptococcus_mitis	0.24552631578947368	0.6052631578947368	0.6908817681509467	0.5799152345031136	0.7834802894201511
