	Barretts_12_EGAF00000525202	Barretts_19_EGAF00000530863	Barretts_6_EGAF00000560127	Barretts_22_EGAF00000525458	Barretts_23_EGAF00000501983	Barretts_15_EGAF00000525456	Barretts_21_EGAF00000560126	Barretts_5_EGAF00000525462	Barretts_2_EGAF00000525461	Barretts_20_EGAF00000560125	Barretts_4_EGAF00000525457	Barretts_11_EGAF00000586502	Barretts_17_EGAF00000525463	Barretts_13_EGAF00000525459	Barretts_3_EGAF00000560128	Barretts_8_EGAF00000525460	Barretts_7_EGAF00000501982	Barretts_18_EGAF00000560130	Barretts_10_EGAF00000530875	Barretts_16_EGAF00000525464	Barretts_9_EGAF00000525201	Barretts_1_EGAF00000501981	Barretts_14_EGAF00000560129
G000599985	1.0	0	1.0	3.0	0	5.0	1.0	3.0	2.0	1.0	3.0	3.0	2.0	1.0	1.0	2.0	0	0	2.0	2.0	2.0	0	1.0
G000600005	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000600335	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
G000601485	30362.0	0	50290.0	99381.0	0	144931.0	57701.0	103400.0	89754.0	46791.0	92722.0	41214.0	105403.0	70841.0	56955.0	93508.0	0	60068.0	21943.0	84713.0	43690.0	0	42845.0
G000603945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000611675	29654.0	0	49709.0	98234.0	0	143158.0	57030.0	102152.0	88810.0	46304.0	91132.0	40651.0	104112.0	69704.0	56152.0	92173.0	0	59133.0	20435.0	83478.0	42800.0	0	41999.0
G000612485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000612605	1.0	0	1.0	1.0	0	3.0	0	1.0	1.0	0	1.0	2.0	1.0	1.0	2.0	2.0	0	0	0	1.0	2.0	0	0
G000612685	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000613185	29728.0	0	49674.0	98222.0	0	143012.0	56990.0	102183.0	88682.0	46326.0	90987.0	40547.0	104005.0	69749.0	56195.0	92093.0	0	59096.0	20459.0	83426.0	42707.0	0	41913.0
G000613345	0	0	0	0	1.0	312.0	0	0	0	0	0	0	2.0	0	1.0	0	2.0	0	1.0	0	0	0	0
G000613505	0	0	0	1.0	7.0	49323.0	4.0	0	0	0	0	0	0	0	1.0	0	18.0	0	13.0	0	0	9.0	0
G000613785	0	1.0	0	3.0	9.0	1296.0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	3.0	1.0	0	15.0	0
G000613805	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000613925	2.0	2.0	0	4.0	10.0	747.0	10.0	5.0	0	0	0	2.0	1.0	0	83.0	0	1.0	3.0	9.0	0	0	95.0	0
G000614025	0	0	0	1.0	4.0	493.0	0	1.0	0	0	0	0	1.0	0	0	0	2.0	1.0	1.0	0	0	2.0	0
G000614065	0	0	0	0	0	83.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000614105	0	0	0	0	0	119.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0
G000614145	0	0	0	0	1.0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000614205	0	0	0	0	0	335.0	0	0	0	0	0	0	2.0	0	0	0	0	0	4.0	0	0	4.0	0
G000614355	0	2.0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000614585	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000615445	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000615975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000617865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000617925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000619785	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000619845	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000619925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000619965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000619985	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620925	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620965	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000620985	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0
G000621185	5.0	0	1.0	8.0	0	12.0	2.0	8.0	7.0	2.0	8.0	7.0	8.0	6.0	2.0	9.0	0	2.0	3.0	7.0	6.0	0	2.0
G000621665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000621725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000622005	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000622145	0	0	0	2.0	7.0	4.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	2.0	0
G000622895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000632125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000632455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000632715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000632805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000633215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	2.0
G000633415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000634355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000634595	18.0	0	65.0	34.0	1.0	18.0	39.0	16.0	13.0	47.0	23.0	2.0	34.0	33.0	25.0	20.0	0	1.0	5.0	21.0	92.0	2.0	11.0
G000634855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000635515	20.0	0	75.0	36.0	1.0	22.0	44.0	16.0	15.0	52.0	26.0	2.0	37.0	37.0	29.0	22.0	1.0	1.0	6.0	22.0	100.0	2.0	12.0
G000648515	44.0	0	24.0	92.0	0	140.0	26.0	92.0	82.0	23.0	89.0	64.0	86.0	67.0	29.0	87.0	0	29.0	29.0	85.0	80.0	0	22.0
G000661955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000681495	13.0	0	5.0	8.0	0	10.0	6.0	11.0	9.0	4.0	9.0	5.0	12.0	6.0	4.0	9.0	0	6.0	9.0	10.0	13.0	0	5.0
G000684975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000685315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000685355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000686605	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000686885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000687435	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000687515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000687655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000687715	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000687875	0	2.0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0
G000687975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688375	0	0	0	0	0	118.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000688835	0	0	0	2.0	0	76.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000689195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000689255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000689415	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	22.0	0	0	0
G000691645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000691665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000691685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000691725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000691745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000694955	27.0	0	12.0	47.0	0	71.0	10.0	53.0	48.0	8.0	50.0	35.0	55.0	37.0	16.0	44.0	0	15.0	13.0	41.0	31.0	0	19.0
G000695055	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000695095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000695235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000695255	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000695795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000696095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000696485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000696615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000697965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000698575	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000698595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000699505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000701345	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
G000701365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000701405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000701445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000701505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000701685	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	2.0	0	4.0	0	0	0	0
G000701705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000701725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000701965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000702005	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000702225	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000702285	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000702305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000702465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
G000702525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000702545	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000702585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000702825	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000702945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000705335	8464.0	0	8400.0	10273.0	0	7138.0	10448.0	9564.0	8790.0	7672.0	9384.0	7749.0	14159.0	7826.0	7737.0	10290.0	0	9279.0	5180.0	10632.0	4946.0	0	7763.0
G000705555	114.0	0	109.0	201.0	0	108.0	118.0	215.0	141.0	115.0	92.0	52.0	72.0	41.0	133.0	162.0	0	304.0	188.0	188.0	69.0	0	156.0
G000706685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000708045	229.0	0	177.0	290.0	0	300.0	195.0	311.0	253.0	99.0	313.0	198.0	313.0	251.0	241.0	333.0	0	221.0	362.0	303.0	320.0	0	297.0
G000708885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000710465	8.0	0	3.0	5.0	0	7.0	4.0	7.0	5.0	2.0	5.0	3.0	7.0	3.0	3.0	3.0	0	4.0	7.0	5.0	9.0	0	3.0
G000710735	4.0	0	1.0	3.0	0	5.0	2.0	5.0	4.0	1.0	3.0	2.0	6.0	3.0	1.0	4.0	0	2.0	2.0	4.0	4.0	0	1.0
G000711245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000711715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000711725	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000711825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000711885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000711955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000711965	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0
G000712035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000712635	70.0	0	31.0	108.0	0	173.0	44.0	133.0	101.0	35.0	111.0	90.0	127.0	75.0	36.0	113.0	0	36.0	45.0	97.0	97.0	0	31.0
G000714535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000714935	4.0	0	1.0	4.0	0	7.0	2.0	5.0	5.0	1.0	6.0	4.0	6.0	5.0	1.0	5.0	0	2.0	2.0	6.0	3.0	0	2.0
G000715495	82286.0	0	65358.0	83117.0	0	61097.0	85317.0	83363.0	71442.0	59124.0	68740.0	70963.0	101348.0	60058.0	65833.0	83826.0	0	88147.0	83105.0	86846.0	65211.0	0	76394.0
G000715505	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000715895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000716715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000717025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000718095	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000718325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000718475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000719135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000719265	20.0	0	7.0	18.0	0	22.0	10.0	22.0	18.0	7.0	19.0	10.0	24.0	12.0	7.0	18.0	0	11.0	13.0	18.0	20.0	0	7.0
G000719335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000719955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000719975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000720035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000720335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000720425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000720925	2.0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0
G000721275	0	0	0	1.0	0	1.0	0	1.0	1.0	0	1.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0
G000722615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000723165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000723405	0	0	0	0	0	0	1.0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
G000723505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000724545	29948.0	0	49953.0	98723.0	0	144680.0	57304.0	102714.0	89388.0	46499.0	92192.0	40863.0	104987.0	70591.0	56542.0	92884.0	0	59285.0	20696.0	84144.0	43079.0	0	42194.0
G000724775	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000725165	0	0	0	1.0	0	1.0	0	1.0	0	0	0	1.0	0	0	0	1.0	0	0	1.0	1.0	0	0	0
G000725175	1.0	0	1.0	2.0	0	2.0	0	1.0	1.0	0	1.0	2.0	1.0	1.0	0	2.0	0	0	1.0	1.0	1.0	0	0
G000725405	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000725485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000730385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000731315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000731955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000732535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000732635	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000732725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000732945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000733125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000733765	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000733775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000733915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000735345	1.0	0	0	2.0	0	2.0	0	1.0	1.0	0	1.0	1.0	1.0	1.0	0	1.0	0	0	0	1.0	1.0	0	0
G000735365	23.0	0	12.0	51.0	0	79.0	16.0	69.0	53.0	14.0	53.0	34.0	55.0	37.0	17.0	48.0	0	16.0	16.0	44.0	40.0	0	12.0
G000735455	8.0	0	4.0	16.0	0	31.0	6.0	22.0	18.0	4.0	16.0	14.0	17.0	12.0	5.0	18.0	0	5.0	6.0	15.0	14.0	0	4.0
G000735585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000735605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000735695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000736415	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000737065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000737335	1316.0	0	941.0	2002.0	0	1793.0	1034.0	1929.0	1587.0	644.0	1796.0	1081.0	1342.0	1295.0	1182.0	2136.0	0	1450.0	4074.0	2072.0	1306.0	0	1394.0
G000737515	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000737695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000737845	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000737865	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000737985	9629.0	0	9029.0	10516.0	0	7479.0	11173.0	9775.0	9020.0	8137.0	9849.0	8578.0	14590.0	8319.0	8401.0	10644.0	0	9877.0	8610.0	10937.0	5829.0	0	8521.0
G000738005	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000739375	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000739455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0
G000739695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000739715	2.0	0	1.0	4.0	0	5.0	2.0	4.0	4.0	1.0	4.0	2.0	5.0	2.0	1.0	3.0	0	1.0	1.0	3.0	3.0	0	1.0
G000739795	0	0	0	0	15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000739895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000739935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000739995	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0
G000740015	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000740785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000740795	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741135	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741165	0	0	0	0	0	68.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
G000741175	0	0	0	0	0	110.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741205	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741215	0	0	0	0	0	30.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741255	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741285	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741525	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741575	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741645	0	0	0	0	0	65.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741695	0	0	0	0	0	377.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741705	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741715	0	0	0	0	0	170.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741765	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741775	0	0	0	0	0	84.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000741785	0	0	0	0	0	78.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000742475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
G000743535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000743575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000743715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000744465	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000744505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000744515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000744755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000744835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000744885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000744955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000745135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000745265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
