	14458.ERR2373132	14458.ERR2373099	14458.ERR2373141	14458.ERR2373059	14458.ERR2373065	14458.ERR2373066	14458.ERR2373070	14458.ERR2373071	14458.ERR2373079	14458.ERR2373082	14458.ERR2373084	14458.ERR2373057	14458.ERR2373104	14458.ERR2373102	14458.ERR2373105	14458.ERR2373142	14458.ERR2373049	14458.ERR2373051	14458.ERR2373054	14458.ERR2373088	14458.ERR2373130	14458.ERR2373108	14458.ERR2373131	14458.ERR2373113	14458.ERR2373135	14458.ERR2373120	14458.ERR2373116	14458.ERR2373126	14458.ERR2373137
G000007565	1.0	3.0	0	0	1.0	1.0	7.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007645	0	1.0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	3.0	1.0	0	1.0	0	2.0	0	0	0	0	0	0
G000007745	0	4.0	0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	7.0	12.0	0	120.0	2.0	4.0	7.0	3.0	15.0	11.0	8.0	1.0	22.0	4.0	6.0	2.0	5.0	42.0	12.0
G000007785	1.0	0	0	1.0	1.0	20.0	1.0	2.0	0	4.0	2.0	1.0	1.0	12.0	1.0	0	3.0	5.0	3.0	4.0	2.0	4.0	1.0	2.0	1.0	2.0	2.0	6.0	0
G000007805	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007825	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007845	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000007865	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0
G000007945	1.0	3.0	1.0	1.0	1.0	6.0	1.0	2.0	1.0	2.0	9.0	25.0	0	237.0	2.0	4.0	8.0	6.0	12.0	14.0	16.0	2.0	30.0	4.0	11.0	4.0	6.0	82.0	23.0
G000008165	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008185	19.0	65.0	21.0	72.0	131.0	8.0	143.0	91.0	541.0	110.0	498.0	1898.0	15.0	218.0	84.0	147.0	2.0	1.0	288.0	947.0	624.0	1.0	3771.0	2566.0	434.0	500.0	966.0	141.0	116.0
G000008325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000008345	16.0	36.0	8.0	1.0	16.0	13.0	66.0	2.0	18.0	15.0	49.0	24.0	18.0	2.0	21.0	5.0	17.0	52.0	81.0	59.0	6.0	8.0	25.0	7.0	35.0	12.0	94.0	33.0	2.0
