	14458.ERR2373068	14458.ERR2373096	14458.ERR2373109	14458.ERR2373092	14458.ERR2373133	14458.ERR2373106	14458.ERR2373103	14458.ERR2373097	14458.ERR2373125	14458.ERR2373112	14458.ERR2373076	14458.ERR2373134	14458.ERR2373093	14458.ERR2373121	14458.ERR2373090	14458.ERR2373089	14458.ERR2373111	14458.ERR2373050	14458.ERR2373095	14458.ERR2373077	14458.ERR2373058	14458.ERR2373061	14458.ERR2373067	14458.ERR2373098	14458.ERR2373107	14458.ERR2373139	14458.ERR2373140	14458.ERR2373146	14458.ERR2373138	14458.ERR2373144	14458.ERR2373085	14458.ERR2373083	14458.ERR2373080	14458.ERR2373078	14458.ERR2373081	14458.ERR2373069	14458.ERR2373074	14458.ERR2373075	14458.ERR2373136	14458.ERR2373110	14458.ERR2373117	14458.ERR2373053	14458.ERR2373055	14458.ERR2373052	14458.ERR2373118	14458.ERR2373124	14458.ERR2373127	14458.ERR2373123	14458.ERR2373119	14458.ERR2373122
G011046975	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011057645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011058205	13.0	1.0	1.0	13.0	1.0	6.0	1.0	10.0	3.0	4.0	2.0	3.0	36.0	4.0	3.0	4.0	12.0	3.0	146.0	5.0	6.0	14.0	13.0	11.0	22.0	0	3.0	4.0	10.0	14.0	3.0	5.0	13.0	22.0	67.0	15.0	106.0	28.0	12.0	41.0	12.0	6.0	29.0	55.0	2.0	11.0	10.0	45.0	15.0	28.0
G011075155	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011090165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011100465	1.0	0	0	1.0	0	0	0	2.0	1.0	1.0	0	0	14.0	3.0	0	3.0	4.0	1.0	9.0	0	1.0	1.0	0	2.0	2.0	0	0	1.0	10.0	1.0	1.0	0	0	0	11.0	2.0	8.0	2.0	0	0	2.0	1.0	2.0	3.0	1.0	2.0	0	2.0	2.0	3.0
G011170085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
G011174675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011290505	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011299095	1.0	0	0	1.0	0	0	0	2.0	1.0	0	0	0	6.0	1.0	1.0	1.0	2.0	1.0	17.0	0	0	0	0	1.0	2.0	0	0	0	6.0	1.0	1.0	0	0	1.0	8.0	2.0	6.0	0	0	2.0	6.0	0	3.0	1.0	0	1.0	0	1.0	1.0	2.0
