	14458.ERR2373049	14458.ERR2373113	14458.ERR2373132	14458.ERR2373070	14458.ERR2373108	14458.ERR2373088	14458.ERR2373071	14458.ERR2373059	14458.ERR2373065	14458.ERR2373066	14458.ERR2373099	14458.ERR2373105	14458.ERR2373104	14458.ERR2373102	14458.ERR2373141	14458.ERR2373142	14458.ERR2373135	14458.ERR2373137	14458.ERR2373079	14458.ERR2373084	14458.ERR2373082	14458.ERR2373130	14458.ERR2373131	14458.ERR2373051	14458.ERR2373116	14458.ERR2373057	14458.ERR2373054	14458.ERR2373120	14458.ERR2373126
G000492155	1.0	2.0	5.0	2.0	2.0	1.0	1.0	2.0	0	13.0	1.0	1.0	2.0	28.0	0	0	1.0	1.0	1.0	2.0	10.0	3.0	2.0	4.0	3.0	2.0	4.0	0	5.0
G000493415	2.0	1.0	2.0	3.0	4.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	4.0	1.0	1.0	1.0	2.0
G000493735	0	0	0	0	0	0	0	0	0	2.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0
G000495915	0	0	0	2.0	0	1.0	0	0	0	2.0	4.0	1.0	0	0	0	0	0	0	0	0	0	1.0	4.0	0	0	0	0	0	0
G000496695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000496735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000497205	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0
G000498435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000498955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000498975	0	0	0	3.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000499385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000499425	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000499525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000499545	8.0	11.0	0	6.0	0	8.0	54.0	1.0	43.0	11.0	5.0	4.0	31.0	39.0	0	1.0	1.0	3.0	0	1.0	124.0	2.0	4.0	7.0	3.0	2.0	7.0	4.0	21.0
G000499605	0	0	2.0	1.0	0	0	0	0	2.0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
G000499745	1.0	0	2.0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
G000499785	0	2.0	0	0	0	2.0	2.0	0	0	0	2.0	0	2.0	1.0	0	0	0	0	0	1.0	2.0	4.0	3.0	3.0	1.0	2.0	2.0	0	2.0
G000503215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000504525	0	0	0	0	0	0	0	0	0	2.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	1.0
G000504585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000505545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
G000506865	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000507785	0	2.0	0	0	0	3.0	0	0	0	1.0	3.0	0	1.0	1.0	0	0	1.0	0	0	2.0	0	1.0	1.0	23.0	2.0	1.0	2.0	0	1.0
G000509245	2.0	21.0	0	0	0	13.0	2.0	0	0	5.0	2.0	0	2.0	6.0	1.0	0	0	1.0	5.0	0	4.0	6.0	22.0	4.0	0	12.0	3.0	1.0	5.0
G000509265	4.0	9.0	0	1.0	1.0	24.0	5.0	0	4.0	2.0	5.0	2.0	2.0	8.0	0	2.0	4.0	4.0	5.0	2.0	4.0	18.0	58.0	5.0	3.0	24.0	6.0	3.0	7.0
G000511935	0	1.0	0	0	0	2.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	1.0	0	2.0
G000512205	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0
G000512915	0	2.0	0	1.0	0	4.0	2.0	0	0	0	2.0	1.0	3.0	2.0	1.0	1.0	0	0	0	1.0	2.0	6.0	5.0	3.0	2.0	2.0	2.0	1.0	3.0
G000513195	0	0	0	0	0	0	1.0	0	0	0	0	0	28.0	2.0	0	0	0	0	0	4.0	0	125.0	5.0	1.0	0	0	4.0	0	6.0
G000513835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000515315	0	2.0	0	2.0	0	0	0	0	0	6.0	0	0	0	0	0	5.0	0	0	0	0	0	6.0	0	2.0	0	0	0	0	0
G000516535	0	9.0	0	5.0	0	13.0	6.0	0	0	10.0	2.0	0	1.0	7.0	0	0	21.0	2.0	0	10.0	1.0	1.0	47.0	9.0	13.0	12.0	3.0	0	10.0
G000517065	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
G000517085	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000517545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000518545	19.0	239.0	8.0	64.0	46.0	254.0	124.0	16.0	70.0	25.0	21.0	52.0	578.0	95.0	16.0	188.0	276.0	31.0	837.0	212.0	49.0	318.0	836.0	104.0	93.0	407.0	95.0	184.0	80.0
G000518645	14.0	10.0	22.0	49.0	2.0	3.0	14.0	0	15.0	16.0	33.0	11.0	14.0	5.0	20.0	5.0	3.0	3.0	12.0	16.0	13.0	6.0	27.0	18.0	21.0	2.0	11.0	6.0	12.0
G000518685	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	4.0	0	0	2.0	1.0
G000519105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
G000519165	11.0	1532.0	29.0	367.0	18.0	2022.0	888.0	252.0	258.0	32.0	104.0	145.0	368.0	865.0	23.0	263.0	83.0	110.0	583.0	225.0	507.0	854.0	3097.0	331.0	414.0	5222.0	143.0	1044.0	784.0
G000519185	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000519325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000520015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000520835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000520955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000521695	2.0	2.0	0	1.0	1.0	5.0	1.0	0	0	2.0	2.0	1.0	0	80.0	0	2.0	5.0	8.0	1.0	2.0	1.0	5.0	11.0	2.0	3.0	10.0	5.0	1.0	40.0
G000521725	5.0	2.0	1.0	1.0	1.0	8.0	3.0	1.0	1.0	3.0	3.0	2.0	0	62.0	0	2.0	3.0	7.0	0	7.0	2.0	6.0	13.0	3.0	3.0	9.0	10.0	3.0	30.0
